en_term_processed;en_definition_processed;ru_term_processed;ru_definition_processed
electrod compart;separ section electrochem cell contain electrod electrolyt isol prevent mix reactant product;электродн отсек;отдельн секц электрохимическ ячейк содержа электрод электрол изолирова предотвращен смешиван реагент продукт
electrod concentr cell;galvan cell voltag gener differ concentr electrolyt electrod;концентрацион элемент электрод;гальваническ элемент напряжен возника изз разниц концентрац электролит двух электрод
electrod passiv;process electrod reactiv format passiv layer typic oxid compound inhibit electrochem reaction phenomenon common batteri corros studi;пассивац электрод;процесс снижен реакцион способн электрод изз образован пассивн сло оксид подавля дальн электрохимическ реакц встреча батаре исследован корроз
electrod potenti;voltag develop electrod equilibrium ion solut measur rel standard hydrogen electrod quantifi tendenc chemic speci gain lose electron;электродн потенциа;напряжен развива электрод равновес ион раствор измерен относительн стандартн водородн электрод свэ характериз склонност химическ вид приобретен потер электрон
electrod potenti calcul;process determin potenti differ electrod refer electrod standard condit nernst equat account concentr temperatur factor influenc redox reaction;расчет электродн потенциа;процесс определен разност потенциал электрод стандартн электрод сравнен использован уравнен нернст учет концентрац температур фактор влия окислительновосстановительн реакц
electrodialysi;separ process ion transport ionexchang membran influenc electr field desalin purif solut;электродиализ;процесс разделен ион перемеща ионообмен мембра действ электрическ пол используем опреснен очистк раствор
electrokinet potenti;potenti differ stationari layer fluid attach charg surfac bulk fluid aris rel motion appli electr field;электрокинетическ потенциа;разност потенциал неподвижн сло жидкост прикреплен заряжен поверхн объемн жидкост возника относительн движен действ приложен электрическ пол
electrolysi;process use electr current drive nonspontan chemic reaction decompos compound constitu element simpler compound;электролиз;процесс использ электрическ ток проведен несамопроизвольн химическ реакц разлага соединен составн элемент прост соединен
electrolyt;substanc produc electr conduct solut dissolv polar solvent water dissoci substanc ion electrolyt essenti biolog chemic process includ nerv conduct batteri oper;электрол;веществ образ электропроводя раствор растворен полярн растворител вод изз диссоциац ион электролит важн биологическ химическ процесс проведен нервн импульс работ батар
electrolyt concentr cell;galvan cell gener electr energi differ electrolyt concentr halfcel typic involv electrod materi;концентрацион элемент электролит;гальваническ элемент вырабатыва электрическ энерг счет разниц концентрац электролит двух полуэлемент использован одинаков материа электрод
electrolyt cell;devic use electr energi drive nonspontan chemic reaction typic involv decomposit compound element simpler compound electrolysi consist electrod anod cathod immers electrolyt solut;электролитическ ячейк;устройств использ электрическ энерг проведен несамопроизвольн химическ реакц разложен соединен элемент прост веществ электролиз состо двух электрод анод катод погружен раствор электролит
electromagnet radiat;form energi emit absorb charg particl exhibit wavelik behavior propag space encompass spectrum radio wave gamma ray;электромагнитн излучен;форм энерг излуча поглоща заряжен частиц проявля волнов свойств распространен пространств охватыва спектр радиоволн гаммалуч
electromagnet spectrum;rang type electromagnet radiat gamma ray radio wave character wavelength frequenc photon energi;электромагнитн спектр;диапазон тип электромагнитн излучен гаммалуч радиоволн характериз длин волн частот энерг фотон
electromot forc;electr potenti differ gener sourc batteri gener drive current circuit;электродвижущ сил;разност электрическ потенциал создава источник батаре генератор вызыва ток цеп
electron;subatom particl neg electr charg found atom act primari carrier electr solid;электрон;субатомн частиц отрицательн электрическ заряд присутствующ атом явля основн носител электричеств тверд тел
electron affin;energi chang electron ad neutral atom form neg ion reflect atom abil attract electron;электрон сродств;изменен энерг добавлен электрон нейтральн ат образован отрицательн ион отража способн атом притягива электрон
electron cloud;region surround atom nucleu electron like found visual fuzzi area uncertainti posit describ quantum mechan;электрон облак;област атомн ядр электрон вероятн наход визуализир размыт зон изз неопределен положен согласн квантов механик
electron cloud model;quantum mechan model describ electron exist probabl cloud nucleu fix orbit base schrödinger equat electron densiti distribut;модел электрон облак;квантовомеханическ модел описыва электрон существ вероятностн облак ядр фиксирова орбит основа уравнен шредингер распределен электрон плотност
electron configur;distribut electron atom molecul atom molecular orbit follow pauli exclus principl hund rule;электрон конфигурац;распределен электрон атом молекул атомн молекулярн орбитал подчиня принцип запрет паул правил хунд
electron densiti;measur probabl electron present specif locat space repres function ρr quantum chemistri solidst physic;электрон плотност;мер вероятн нахожден электрон определен точк пространств представля функц ρр квантов хим физик тверд тел
electron diffract;phenomenon electron scatter crystallin materi produc diffract pattern reveal atom structur wide materi scienc crystallographi studi arrang atom solid;электрон дифракц;явлен рассеян электрон кристаллическ материал созда дифракцион картин раскрыва атомн структур широк применя материаловеден кристаллограф изучен расположен атом тверд тел
electron domain;region central atom molecul electron like found includ bond pair lone pair predict molecular geometri;электрон дом;област центральн атом молекул вероятн нахожден электрон связыва несвязыва пар используем предсказан геометр молекул
electron magnet field;electron subject magnet field experienc lorentz forc alter motion energi level studi quantum mechan condens matter physic;электрон магнитн пол;электрон находя воздейств магнитн пол испытыва сил лоренц изменя движен энергетическ уровн изуча квантов механик физик конденсирова состоян
electron orbit;region atom nucleu electron like found describ quantum mechan wave function defin electron energi angular momentum spatial distribut;электрон орбита;област ядр атом электрон вероятн описыва квантов механик волнов функц определя энерг момент импульс пространствен распределен электрон
electron pair;electron occupi orbit opposit spin form coval bond lone pair molecul;электрон пар;два электрон занима орбитал противоположн спин образ ковалентн связ неподелен пар молекул
electron paramagnet;properti materi contain unpair electron exhibit magnet expos extern magnet field studi electron paramagnet reson epr;электрон парамагнитн;свойств материал неспарен электрон проявля магнетизм действ внешн магнитн пол исследуем метод электрон парамагнитн резонанс эпр
electron spin;intrins properti electron give magnet moment angular momentum quantiz ±½ unit ħ reduc planck constant;спин электрон;внутрен свойств электрон прида магнитн момент момент импульс квантуем ±½ единиц ħ постоя планк
electron spin reson;spectroscop techniqu detect unpair electron magnet field measur absorpt microwav radiat studi paramagnet materi;электрон парамагнитн резонанс;спектроскопическ метод обнаружива неспарен электрон магнитн пол пут измерен поглощен микроволнов излучен применя изучен парамагнитн материал
electron transfer;process electron electron donor electron acceptor fundament redox reaction charg transport energi convers;перенос электрон;процесс перемещен электрон донор электрон акцептор электрон ключев окислительновосстановительн реакц перенос заряд преобразован энерг
electron tunnel;quantum phenomenon electron pass potenti barrier classic nt overcom waveparticl dualiti;туннелирован электрон;квантов феном электрон проход потенциальн барьер классическ преодолева дуализм волнычастиц
electron volt;unit energi equal kinet energi gain singl electron acceler electr potenti differ volt vacuum commonli physic chemistri express small energi valu energi particl photon;электронвольт;единиц энерг равн кинетическ энерг приобрета электрон ускорен вакуум действ разност потенциал вольт широк использ физик хим выражен мал значен энерг
electroneg;chemic properti describ tendenc atom attract share pair electron coval bond dimensionless quantiti measur paul scale crucial understand bond polar reactiv;электроотрицательн;химическ свойств атом описыва способн притягива пар электрон ковалентн связ безразмерн величин измеря шкал полинг важн пониман полярн связ реакцион способн
electron;relat involv electron flow electr charg devic circuit system;электрон;относя электрон связа поток электрическ заряд устройств цеп систем
electron molecular;relat behavior structur properti electron molecul studi quantum chemistri spectroscopi;электрон молекулярн;относя поведен структур свойств электрон молекул изуча квантов хим спектроскоп
electron energi transfer;process energi transfer molecul atom electron excit occur photochemistri molecular spectroscopi;перенос электрон энерг;процесс передач энерг молекул атом друг электрон возбужден встреча фотохим молекулярн спектроскоп
electron mean energi;averag energi electron system calcul quantum chemistri describ electron state distribut;средн электрон энерг;средн энерг электрон систем рассчитыва квантов хим описан электрон состоян распределен
electron partit function;statist mechan term repres sum electron energi state molecul weight boltzmann factor crucial calcul thermodynam properti;электрон статистическ сумм;термин статистическ механик представля сумм электрон энергетическ состоян молекул взвешен больцмановск множител важн расчет термодинамическ свойств
electron polariz;measur easili electron cloud atom molecul distort extern electr field influenc materi dielectr properti;электрон поляризуем;мер наскольк легк электрон облак атом молекул искаж внешн электрическ пол вли диэлектрическ свойств материа
electron spectra;spectra result electron transit energi level atom molecul typic observ uvvi spectroscopi;электрон спектр;спектр возника электрон переход энергетическ уровн атом молекул наблюда уфвидим спектроскоп
electron wave function;mathemat function describ quantum state electron system provid inform electron posit energi properti solut schrödinger equat fundament quantum mechan predict electron behavior atom molecul;электрон волнов функц;математическ функц описыва квантов состоян электрон систем содержа информац положен энерг свойств явля решен уравнен шредингер использ квантов механик предсказан поведен электрон атом молекул
electronvolt;unit energi equal work electron move electr potenti differ volt approxim 1602×10⁻¹ joul;электронвольт;единиц энерг равн работ соверша перемещен электрон электрическ пол разност потенциал вольт примерн 1602×10⁻¹ джоул
electrostat forc;forc charg particl object describ coulomb law state forc directli proport product charg invers proport squar distanc;электростатическ сил;сил заряжен частиц объект описыва закон кулон глас сил прям пропорциональн произведен заряд обратн пропорциональн квадрат расстоян
electrostat interact;forc charg particl molecul govern coulomb law state like charg repel opposit charg attract interact fundament chemistri influenc molecular structur stabil reactiv;электростатическ взаимодейств;сил заряжен частиц молекул описыва закон кулон одноимен заряд отталкива разноимен притягива взаимодейств важн хим вли структур стабильн реакцион способн молекул
electrostat potenti surfac;3d represent electrostat potenti molecul show region posit neg charg predict reactiv interact;поверхн электростатическ потенциа;трехмерн представлен электростатическ потенциа молекул показыва област положительн отрицательн заряд используем предсказан реакцион способн взаимодейств
electrostat;studi stationari electr charg forc exert govern coulomb law;электростатик;раздел физик изуча взаимодейств неподвижн электрическ заряд сил действ описыва закон кулон
elementari reaction;singlestep chemic reaction reactant directli form product intermedi step follow law mass action;элементарн реакц;одностадийн химическ реакц реагент непосредствен превраща продукт промежуточн стад подчин закон действ масс
elementari step;singl reaction step chemic mechan involv reactant form product intermedi simplest process contribut overal reaction;элементарн стад;одиночн этап химическ реакц реагент превраща продукт образован промежуточн соединен прост процесс внося вклад реакц
eleyrid mechan;surfac reaction mechan gasphas molecul react directli adsorb speci catalyst surfac requir adsorpt reactant;механизм элиридиа;механизм поверхностн реакц молекул газов фаз непосредствен реагир адсорбирова веществ поверхн катализатор адсорбц обо реагент
emf;energi unit charg convert revers chemic mechan form energi electr energi devic batteri gener;эдс;энерг единиц заряд обратим преобраз химическ механическ форм энерг электрическ энерг устройств батаре генератор
emiss spectra;rang wavelength electromagnet radiat emit atom molecul transit higher lower energi state identifi element compound spectroscopi;спектр излучен;диапазон длин волн электромагнитн излучен испуска атом молекул переход высок низк энергетическ уровен используем идентификац элемент соединен спектроскоп
emiss spectroscopi;techniqu analyz light emit atom molecul return lower energi state excit identifi element concentr;эмиссион спектроскоп;метод анализ свет излуча атом молекул возвращен низш энергетическ состоян возбужден используем идентификац элемент концентрац
emiss spectrum;spectrum frequenc electromagnet radiat emit atom molecul transit higher lower energi state identifi substanc;спектр излучен;спектр частот электромагнитн излучен испуска атом молекул переход высок низк энергетическ состоян используем идентификац веществ
emmett p;scientist known contribut surfac chemistri catalysi particularli bet theori measur surfac area materi;эмметт;учен известн работ област поверхностн хим катализ теор бэт измерен площад поверхн материал
emulsifi agent;substanc stabil emuls reduc interfaci tension immisc liquid prevent separ;эмульгир агент;веществ стабилизир эмульс уменьш межфазн натяжен несмешива жидкост предотвра расслоен
encount pair;transient pair molecul form collis solut react separ reaction;встречн пар;времен пар молекул образующ столкновен раствор вступ реакц разойт
endenthalp process;process occur constant enthalpi heat exchang surround seen adiabat system;энтальпийн процесс;процесс происходя постоя энтальп обм тепл окружа сред наблюда адиабатическ систем
endergon reaction;chemic reaction requir energi input proceed result product higher free energi reactant commonli occur biolog system;эндергоническ реакц;химическ реакц требующ подвод энерг протекан приводя образован продукт высок свободн энерг исходн веществ встреча биологическ систем
endotherm;process reaction absorb energi surround typic form heat result decreas temperatur surround character posit chang enthalpi δh 0;эндотермическ;процесс реакц поглоща энерг окружа сред вид тепл привод снижен температур окружен характериз положительн изменен энтальп δh 0
endotherm process;process absorb heat surround result posit chang enthalpi δh 0;эндотермическ процесс;процесс поглоща тепл окружа сред привод положительн изменен энтальп δh 0
endotherm reaction;chemic reaction absorb heat surround result decreas temperatur system energi requir reaction taken environ make surround cooler;эндотермическ реакц;химическ реакц поглоща тепл окружа сред привод понижен температур систем энерг реакц забира окружен охлажд
energi;capac work transfer object convert differ form kinet potenti thermal chemic energi fundament concept physic chemistri govern law thermodynam;энерг;способн соверша работ передава объект преобразовыва различн форм кинетическ потенциальн теплов химическ энерг фундаментальн понят физик хим регулируем закон термодинамик
energi barrier;minimum energi requir chemic reaction occur repres differ energi reactant transit state determin reaction rate key concept chemic kinet thermodynam;энергетическ барьер;минимальн энерг необходим протекан химическ реакц представля разниц энерг реагент переходн состоян определя скорост реакц явля ключев понят химическ кинетик термодинамик
energi densiti;energi store given system region space unit volum mass compar differ energi storag method fuel;энергетическ плотност;количеств энерг запасен систем област пространств единиц объем масс использ сравнен различн метод хранен энерг топлив
energi densiti state;number electron state unit energi interv given energi level materi crucial understand electron properti;плотност состоян энерг;количеств электрон состоян единичн интерва энерг зада уровн энерг материал важн пониман электрон свойств
energi depend;variat physic properti process chang energi observ chemic reaction materi behavior;зависим энерг;изменен физическ свойств процесс изменен энерг наблюда химическ реакц поведен материал
energi eigenst;quantum state system definit energi correspond eigenvector hamiltonian oper state system energi precis known chang time describ timeindepend schrödinger equat;энергетическ собствен состоян;квантов состоян систем определен энерг соответств собствен вектор оператор гамильтон состоян энерг систем известн изменя времен описыва стационарн уравнен шредингер
energi eigenvalu;specif quantiz energi level quantum mechan system obtain solv schrödinger equat repres possibl stationari state system;собствен значен энерг;специфическ квантова уровн энерг квантов систем получен решен уравнен шредингер представля возможн стационарн состоян систем
energi expect valu;averag valu energi quantum system calcul integr product wave function complex conjug hamiltonian oper space repres system probabl energi measur outcom;средн значен энерг;средн значен энерг квантов систем вычисля интегра произведен волнов функц комплексн сопряжен оператор гамильтон пространств представля вероятн результат измерен энерг систем
energi flux;rate energi transfer unit area typic measur watt squar meter wm²;поток энерг;скорост передач энерг единиц площад измеря ватт квадратн метр втм²
energi level;quantiz state system eg atom molecul specif energi electron resid depict diagram;энергетическ уровен;квантова состоян систем атом молекул определен энерг электрон изобража диаграмм
energi level diagram;graphic represent energi state system atom molecul show rel energi differ quantum state transit spectroscopi quantum mechan visual electron vibrat rotat energi level;диаграмм энергетическ уровн;графическ представлен энергетическ состоян систем атом молекул показыва относительн энерг различн квантов состоян переход используем спектроскоп квантов механик визуализац электрон колебательн вращательн уровн энерг
energi level;discret valu energi quantum mechan system atom molecul possess correspond stabl state system transit level result absorpt emiss electromagnet radiat;энергетическ уровн;дискретн значен энерг квантов систем ат молекул соответств устойчив состоян переход уровн привод поглощен излучен электромагнитн излучен
energi level harmon oscil;quantiz energi state system undergo harmon motion given en n 12ħω n quantum number ħ reduc planck constant ω angular frequenc oscil;уровн энерг гармоническ осциллятор;квантова энергетическ состоян систем соверша гармоническ колебан определя en n 12ħω n квантов числ ħ приведен постоя планк ω углов частот осциллятор
energi level hydrogen;quantiz state energi electron hydrogen atom occupi determin princip quantum number n describ bohr model quantum mechan level dictat atom emiss absorpt spectra;уровн энерг водород;квантова состоян энерг занима электрон атом водород определя главн квантов числ n описыва модел бор квантов механик уровн определя спектр излучен поглощен атом
energi oper;mathemat oper quantum mechan repres total energi system correspond hamiltonian oper;оператор энерг;математическ оператор квантов механик представля полн энерг систем соответств гамильтониан
energi pool;process excit speci transfer energi singl acceptor result higher excit state;кумулирован энерг;процесс два возбужден вид переда энерг акцептор привод высок возбужден состоян
energi profil diagram;graphic represent energi chang occur chemic reaction show rel energi reactant transit state intermedi product reaction progress reaction coordin;диаграмм энергетическ профил;графическ представлен изменен энерг ход химическ реакц показыва относительн энерг реагент переходн состоян промежуточн продукт конечн продукт мер протекан реакц
energi quantiz;concept energi exist discret specif amount level continu rang demonstr quantum mechan phenomena like photoelectr effect atom spectra;квантован энерг;концепц согласн энерг существова определен дискретн уровн непрерывн диапазон подтвержда квантов механик явлен фотоэффект атомн спектр
energi spectral densiti;measur distribut energi signal time seri differ frequenc typic express unit energi frequenc interv;спектральн плотност энерг;мер распределен энерг сигна времен ряд различн частот выража единиц энерг интерва частот
engin effici;ratio use work perform engin energi input express percentag indic effect engin convert fuel mechan energi;кпд двигател;отношен полезн работ соверша двигател затрачен энерг выража процент показыва наскольк эффективн двигател преобраз топлив механическ энерг
engin convent;standard wide accept practic engin disciplin ensur consist design analysi commun;инженерн соглашен;стандартн общепринят практик инженерн дисциплин обеспечива единообраз проектирован анализ коммуникац
ensembl;collect system consid statist mechan repres possibl state physic system specifi condit deriv macroscop properti microscop behavior;ансамбл;совокупн сист статистическ механик представля возможн состоян физическ систем зада услов используем вывод макроскопическ свойств микроскопическ поведен
ensembl averag;mean valu physic quantiti possibl configur statist ensembl statist mechan predict macroscop properti microscop interact;ансамблев средн;средн значен физическ величин возможн конфигурац статистическ ансамбл используем статистическ механик предсказан макроскопическ свойств основ микроскопическ взаимодейств
entangl densiti;measur degre topolog constraint interchain interact polym system quantifi polym chain intertwin knot affect mechan rheolog properti;плотност запутыван;мер степен топологическ ограничен межцепн взаимодейств полимерн систем характеризующ степен переплетен узл полимерн цеп влия механическ реологическ свойств
enthalp interact;interact molecul particl primarili driven chang enthalpi involv format break chemic bond key factor determin thermodynam stabil system;энтальпийн взаимодейств;взаимодейств молекул частиц обусловлен изменен энтальп связа образован разрыв химическ связ явля ключев фактор термодинамическ устойчив систем
enthalpi adsorpt;heat chang associ adsorpt ga liquid solid surfac reflect energi releas absorb process key paramet character adsorpt phenomena surfac interact;энтальп адсорбц;теплов эффект связа адсорбц газ жидкост тверд поверхн отража энерг выделя поглоща процесс важн параметр характеристик адсорбцион явлен поверхностн взаимодейств
enthalpi format;heat chang mole compound form element standard state given temperatur pressur;энтальп образован;теплов эффект образован мол соединен прост веществ стандартн состоян зада температур давлен
enthalpi fusion;energi requir chang substanc solid phase liquid phase constant pressur temperatur typic measur joul mole jmol key thermodynam properti character phase transit;энтальп плавлен;количеств энерг необходим переход веществ тверд фаз жидк постоя давлен температур измеря джоул мол джмол важн термодинамическ свойств характериз фазов переход
enthalpi mix;heat chang substanc mix constant pressur reflect energi differ mixtur pure compon interact;энтальп смешен;теплов эффект смешен двух веществ постоя давлен отража разниц энерг смес чист компонент изз взаимодейств
enthalpi reaction;heat chang chemic reaction constant pressur equal differ enthalpi product reactant indic reaction exotherm releas heat endotherm absorb heat;энтальп реакц;теплов изменен химическ реакц постоя давлен равн разност энтальп продукт реагент показыва явля реакц экзотермическ выделя тепл эндотермическ поглоща тепл
enthalpi vapor;energi requir transform given quantiti substanc liquid ga constant pressur measur substanc boil point reflect strength intermolecular forc liquid phase;энтальп испарен;количеств энерг необходим превращен определен количеств веществ жидкост газ постоя давлен измеря температур кипен отража сил межмолекулярн взаимодейств жидкост
enthalpyentropi balanc;thermodynam concept describ tradeoff enthalpi heat content entropi disord system determin spontan equilibrium chemic reaction phase transit;энтальпийноэнтропийн баланс;термодинамическ концепц описыва баланс энтальп теплосодержан энтроп беспорядк систем определя спонтан равновес химическ реакц фазов переход
entrop gain;increas entropi system result process like mix dissolut conform chang drive spontan reaction phase transit maxim disord;энтропийн выигрыш;увеличен энтроп систем возника смешен растворен конформацион изменен стимулирова самопроизвольн реакц фазов переход счет максимизац беспорядк
entropi;thermodynam quantiti repres unavail system thermal energi convers mechan work interpret degre disord random system central concept second law thermodynam;энтроп;термодинамическ величин характеризующ недоступн теплов энерг систем превращен механическ работ интерпретируем степен беспорядк хаос ключев понят втор закон термодинамик
entropi absolut zero;fundament principl thermodynam state entropi perfect crystal absolut zero temperatur exactli zero atom lowest energi state perfectli order leav uncertainti system configur;энтроп абсолютн нул;фундаментальн принцип термодинамик утвержда энтроп идеальн кристалл абсолютн нул температур равн нул атом наход основн состоян идеальн упорядоч исключа неопределен конфигурац систем
entropi chang;measur chang disord random thermodynam system process calcul differ entropi final initi state denot δs sfinal siniti;изменен энтроп;мер изменен беспорядк случайн термодинамическ систем ход процесс вычисля разност энтроп конечн начальн состоян δс сконечн сначальн
entropi chang ideal ga;chang entropi ideal ga thermodynam process calcul formula δs nrlnv2v1 ncvlnt2t1 n number mole r ga constant v volum cv heat capac constant volum t temperatur;изменен энтроп идеальн газ;изменен энтроп идеальн газ термодинамическ процесс рассчитыва формул δс nrlnv2v1 ncvlnt2t1 n количеств мол r газов постоя v обь cv теплоемк постоя объем t температур
entropi chang phase transit;chang entropi occur substanc undergo phase transit melt vapor sublim reflect increas disord system absorb heat;изменен энтроп фазов переход;изменен энтроп переход веществ фаз друг плавлен испарен сублимац отража увеличен беспорядк систем поглощен тепл
entropi chang surround;chang entropi environ heat transfer system calcul δssurround δhsystemt δhsystem enthalpi chang system t temperatur;изменен энтроп окружен;изменен энтроп окружа сред вследств теплообм систем рассчитыва δсокружен δhсистем δhсистем изменен энтальп систем t температур
entropi chang univers;measur total chang entropi system surround thermodynam process reflect irrevers natur process second law thermodynam state entropi isol system increas time;изменен энтроп вселен;мер общ изменен энтроп систем окружен термодинамическ процесс отража необратим природн процесс втор закон термодинамик согласн энтроп изолирова систем возраста времен
entropi convent;standard refer state eg 0 k 1 bar defin absolut entropi valu thermodynam ensur consist calcul;конвенц энтроп;стандартн референсн состоян 0 1 бар используем определен абсолютн значен энтроп термодинамик обеспечив согласован расчет
entropi flux;rate entropi transfer unit area typic associ heat transfer mass flow thermodynam system indic direct magnitud entropi chang boundari;поток энтроп;скорост перенос энтроп единиц площад связа теплопередач поток масс термодинамическ систем указыва направлен величин изменен энтроп границ
entropi increas;measur increas disord random thermodynam system associ second law thermodynam state total entropi isol system decreas time;увеличен энтроп;мер рост беспорядк случайн термодинамическ систем связа втор закон термодинамик утвержда полн энтроп изолирова систем уменьша времен
entropi activ;chang entropi system transit reactant activ complex chemic reaction reflect molecular disord transit state;энтроп активац;изменен энтроп переход систем реагент активирова комплекс химическ реакц отража молекулярн беспорядок переходн состоян
entropi ideal ga;thermodynam quantiti repres disord random ideal ga system calcul sackurtetrod equat account number particl volum temperatur ga;энтроп идеальн газ;термодинамическ величин характеризующ степен беспорядк хаотичн систем идеальн газ рассчитыва использован уравнен саккуратетрод учитыва количеств частиц обь температур газ
entropi dissolut;chang entropi solut dissolv solvent reflect disord increas mix solvat;энтроп растворен;изменен энтроп растворен веществ растворител отража увеличен беспорядк изз смешен сольватац
entropi expans;increas entropi ga expand larger volum constant temperatur reflect greater number access microst;энтроп расширен;увеличен энтроп расширен газ больш обь постоя температур отража больш числ доступн микросостоян
entropi heat;chang entropi system absorb heat calcul integr heat capac temperatur;энтроп нагреван;изменен энтроп систем поглощен тепл рассчитыва интегрирован теплоемк температур
entropi phase transit;chang entropi substanc undergo phase transit melt vapor constant temperatur pressur;энтроп фазов переход;изменен энтроп переход веществ фаз друг плавлен испарен постоя температур давлен
entropi product;measur irrevers process thermodynam system repres increas entropi dissip effect like heat transfer friction chemic reaction describ second law thermodynam;производств энтроп;мер необратим процесс термодинамическ систем отража рост энтроп изз диссипативн эффект теплопередач трен химическ реакц согласн втор закон термодинамик
entropi product rate;measur rate entropi gener thermodynam system irrevers process heat transfer chemic reaction viscou dissip quantifi system departur equilibrium central nonequilibrium thermodynam;скорост производств энтроп;мер скорост генерац энтроп термодинамическ систем изз необратим процесс теплопередач химическ реакц вязк диссипац характериз отклонен систем равновес важн неравновесн термодинамик
environment degrad rate;speed pollut natur substanc break environ influenc factor like temperatur microbi activ chemic composit crucial assess ecolog impact pollut persist;скорост деградац окружа сред;скорост загрязня природн веществ разлага окружа сред завися температур микробн активн химическ состав важн оценк экологическ воздейств устойчив загрязнен
